task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,8.910636,21,"[4.28927755355835, -0.3063437342643738, 0.9202420711517334]","[0.6019473075866699, 1.1301265954971313, -0.21381917595863342]",134,[3.383054256439209],[-0.24951542913913727],-9.694797,-7.3896236,intuitive,False,-29.08439,-7.3896236,intuitive,False,-6.4834003,-7.3896236,correct,True,8.496716,4191,"[1.595319390296936, 0.22642087936401367, 0.8101391196250916]","[3.555774450302124, -0.6159593462944031, 1.0306466817855835]",11280,[0.5275043845176697],[-1.1562995910644531],-11.105304,-11.065386,intuitive,False,-33.31591,-11.065386,intuitive,False,-9.99757,-11.065386,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,8.996897,35,"[4.375862121582031, 0.28345999121665955, 0.8124181628227234]","[-2.83139967918396, 1.194600224494934, -1.29091477394104]",264,[3.168516159057617],[1.6303110122680664],-9.58126,-7.892885,intuitive,False,-28.74378,-7.892885,intuitive,False,-6.685538,-7.892885,correct,True,8.677572,1362,"[2.654578685760498, -0.0957988053560257, 1.1094857454299927]","[0.5865600109100342, -0.13662780821323395, -1.8812850713729858]",16860,[0.11936575919389725],[0.1849856823682785],-10.742669,-11.645004,correct,True,-32.22801,-11.645004,intuitive,False,-9.109792,-11.645004,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,8.927052,350,"[2.937831163406372, 0.7948991656303406, 0.3464137613773346]","[-1.200929880142212, 0.23961414396762848, 0.05749954655766487]",135,[3.538302421569824],[4.210943698883057],-10.091163,-7.485656,intuitive,False,-30.273487,-7.485656,intuitive,False,-8.086126,-7.485656,intuitive,False,8.112896,1515,"[2.5716898441314697, -0.14683978259563446, 0.4202021658420563]","[-1.510006070137024, 2.4403204917907715, -0.44868025183677673]",16543,[0.17058561742305756],[0.07608761638402939],-11.071774,-11.7091675,correct,True,-33.21532,-11.7091675,intuitive,False,-9.3080635,-11.7091675,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,8.102217,1213,"[2.2194902896881104, 0.8359650373458862, 0.333374947309494]","[2.915186643600464, 2.0183489322662354, -0.6284323334693909]",26,[4.8797712326049805],[-0.5746219754219055],-10.36855,-6.424732,intuitive,False,-31.105652,-6.424732,intuitive,False,-9.085012,-6.424732,intuitive,False,8.418892,3836,"[1.8049346208572388, 0.937502384185791, 0.2255392223596573]","[0.25697797536849976, 1.7546298503875732, -1.2328884601593018]",15929,[0.180998295545578],[-0.9494759440422058],-10.967944,-11.588386,correct,True,-32.90383,-11.588386,intuitive,False,-9.964449,-11.588386,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,8.537893,349,"[3.195863723754883, 1.6464487314224243, 0.1025126725435257]","[-0.9439353942871094, 0.6351813673973083, 1.0516653060913086]",102,[4.068699359893799],[1.5053482055664062],-9.912735,-7.2859745,intuitive,False,-29.738205,-7.2859745,intuitive,False,-8.15881,-7.2859745,intuitive,False,7.8743043,3462,"[1.7540394067764282, 1.575921893119812, -0.17878024280071259]","[-1.3586630821228027, 0.5927116870880127, 0.5877822637557983]",17763,[-0.12258423119783401],[-0.07975740730762482],-10.803592,-11.875017,correct,True,-32.410774,-11.875017,intuitive,False,-9.998393,-11.875017,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,8.184059,859,"[2.5056405067443848, 1.8545374870300293, 0.47376710176467896]","[4.101378440856934, -3.042196035385132, 3.7203638553619385]",89,[4.271459102630615],[17.797338485717773],-9.939656,-7.108144,intuitive,False,-29.81897,-7.108144,intuitive,False,-8.873962,-7.108144,intuitive,False,7.7450776,8183,"[1.1809914112091064, 1.7744874954223633, 0.0662485733628273]","[-1.3791496753692627, -0.20057883858680725, 2.9891316890716553]",19973,[-0.13940218091011047],[0.4770815670490265],-10.93455,-12.163422,correct,True,-32.80365,-12.163422,intuitive,False,-10.843028,-12.163422,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,2.765035,188,"[4.099669933319092, 0.5740753412246704, 1.5499628782272339]","[4.535802841186523, 4.270382404327393, 4.267473220825195]",3,[11.705405235290527],[8.527446746826172],-10.177394,-2.1095161,intuitive,False,-30.53218,-2.1095161,intuitive,False,-9.715252,-2.1095161,intuitive,False,6.656251,13114,"[0.5571946501731873, 1.568711519241333, 0.9437447190284729]","[-0.5927664041519165, 3.839830160140991, 4.746713161468506]",17810,[0.050001949071884155],[-0.07252718508243561],-10.924823,-12.166587,correct,True,-32.774467,-12.166587,intuitive,False,-11.659394,-12.166587,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,1.7240274,57,"[5.388667583465576, 2.30592942237854, 2.533315658569336]","[-3.577423095703125, 2.614668846130371, 0.5503209233283997]",3,[13.635733604431152],[-7.174058437347412],-9.545892,-2.0998263,intuitive,False,-28.637674,-2.0998263,intuitive,False,-10.346891,-2.0998263,intuitive,False,3.9292703,15077,"[0.17723749577999115, 3.107449769973755, 2.071120500564575]","[-1.9323946237564087, 2.78434419631958, 0.45105135440826416]",16666,[0.006997051183134317],[-0.8056662678718567],-10.553559,-12.9780245,correct,True,-31.660677,-12.9780245,intuitive,False,-12.807784,-12.9780245,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,4.7973742,206,"[3.932687282562256, 2.986940860748291, 2.4811341762542725]","[1.323905110359192, 4.81801176071167, 5.241694927215576]",3,[10.596179962158203],[4.378238201141357],-8.871093,-1.9501172,intuitive,False,-26.61328,-1.9501172,intuitive,False,-8.613608,-1.9501172,intuitive,False,4.026946,18309,"[-0.3565349578857422, 3.9127464294433594, 2.034259796142578]","[1.1064157485961914, 3.225184679031372, 5.533764362335205]",17037,[-0.21202726662158966],[-0.2545020282268524],-10.467053,-13.027736,correct,True,-31.40116,-13.027736,intuitive,False,-13.172243,-13.027736,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,4.6952944,286,"[3.9554717540740967, 4.203116416931152, 3.841585874557495]","[1.3978630304336548, 2.42292857170105, 0.7924689650535583]",2,[10.917765617370605],[4.965094089508057],-8.355893,-2.0067384,intuitive,False,-25.06768,-2.0067384,intuitive,False,-8.96903,-2.0067384,intuitive,False,3.340972,14845,"[-0.005196908954530954, 4.538685321807861, 3.5343027114868164]","[-1.6406221389770508, 0.8441607356071472, 0.7336131930351257]",17190,[-0.26420822739601135],[1.5083340406417847],-10.053748,-13.407007,correct,True,-30.161243,-13.407007,intuitive,False,-13.147996,-13.407007,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,3.4148593,287,"[3.948309898376465, 4.428598403930664, 3.5028762817382812]","[2.468015193939209, 3.9700567722320557, 0.33117344975471497]",3,[11.274694442749023],[8.1683931350708],-8.88944,-2.3433166,intuitive,False,-26.66832,-2.3433166,intuitive,False,-9.669701,-2.3433166,intuitive,False,2.3930984,19144,"[-0.4739673435688019, 4.420060157775879, 3.1852805614471436]","[-0.07503324747085571, 3.585789918899536, 0.284177303314209]",13080,[0.19733698666095734],[3.889958381652832],-11.1213045,-13.843713,correct,True,-33.363914,-13.843713,intuitive,False,-14.5150175,-13.843713,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,2.560178,255,"[4.30443811416626, 5.010387420654297, 3.4298884868621826]","[3.965895414352417, 8.432835578918457, 2.5070629119873047]",2,[12.633231163024902],[10.400613784790039],-8.900212,-1.633312,intuitive,False,-26.700638,-1.633312,intuitive,False,-9.962102,-1.633312,intuitive,False,2.342212,19027,"[-0.4400824308395386, 5.029027938842773, 3.120316505432129]","[0.583742618560791, 6.300974369049072, 1.9241130352020264]",5137,[1.307498574256897],[1.132063865661621],-11.20917,-13.24886,correct,True,-33.62751,-13.24886,intuitive,False,-14.996442,-13.24886,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,1.9311436,183,"[4.984333038330078, 6.7356438636779785, 4.017026901245117]","[2.8993430137634277, 4.936574459075928, 7.119295597076416]",2,[14.254395484924316],[4.759433746337891],-8.438499,-1.1272643,intuitive,False,-25.315498,-1.1272643,intuitive,False,-10.397328,-1.1272643,intuitive,False,1.7577032,14347,"[-0.21219921112060547, 6.339709281921387, 3.542301654815674]","[0.8353791832923889, 3.5885603427886963, 7.48249626159668]",3156,[1.4743553400039673],[2.5403943061828613],-10.847066,-13.12456,correct,True,-32.5412,-13.12456,intuitive,False,-14.811115,-13.12456,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,23,1.906888,170,"[5.301766872406006, 7.397164821624756, 5.733202934265137]","[5.419426441192627, 6.042572975158691, 6.118839740753174]",2,[14.224603652954102],[13.365269660949707],-8.097873,-1.4495292,intuitive,False,-24.29362,-1.4495292,intuitive,False,-10.372363,-1.4495292,intuitive,False,1.6417124,14043,"[-0.0012392993085086346, 6.704275608062744, 5.251235008239746]","[-2.080230474472046, 4.995144844055176, 5.599554538726807]",2276,[1.935755729675293],[1.1109986305236816],-10.556522,-12.838194,correct,True,-31.669567,-12.838194,intuitive,False,-14.775188,-12.838194,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,24,1.4433296,77,"[6.318254470825195, 8.268266677856445, 7.1477837562561035]","[7.793920040130615, 5.207472324371338, 5.124746799468994]",1,[16.583683013916016],[9.532435417175293],-7.7877374,-1.0690792,intuitive,False,-23.363213,-1.0690792,intuitive,False,-11.334506,-1.0690792,intuitive,False,1.5138847,17440,"[-0.4810861349105835, 7.5205302238464355, 6.459820747375488]","[0.753713846206665, 5.250787734985352, 5.1927032470703125]",1843,[2.0319619178771973],[-0.03380744904279709],-9.901859,-13.068553,correct,True,-29.705578,-13.068553,intuitive,False,-15.581601,-13.068553,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,25,1.218508,35,"[7.6699371337890625, 8.947375297546387, 8.118175506591797]","[3.0617125034332275, 9.124564170837402, 4.2862443923950195]",2,[17.70551300048828],[6.178396701812744],-7.1701202,-0.9534381,intuitive,False,-21.51036,-0.9534381,intuitive,False,-10.989012,-0.9534381,intuitive,False,1.1159842,15371,"[-0.3009590804576874, 8.23813533782959, 7.460092544555664]","[2.3008651733398438, 3.6436800956726074, 3.744443893432617]",2047,[1.9053301811218262],[1.8203372955322266],-9.760058,-13.757481,correct,True,-29.280174,-13.757481,intuitive,False,-15.96377,-13.757481,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,26,1.1219485,29,"[7.895791053771973, 10.38909912109375, 8.7845458984375]","[14.340686798095703, 10.520485877990723, 5.097053527832031]",2,[18.01059341430664],[9.012310981750488],-8.125441,-1.1724994,intuitive,False,-24.376322,-1.1724994,intuitive,False,-11.2873125,-1.1724994,intuitive,False,0.31640756,10076,"[0.23721061646938324, 8.545440673828125, 7.979625701904297]","[1.6450486183166504, 8.623738288879395, 3.865647315979004]",1387,[2.163134813308716],[1.5022339820861816],-9.496979,-14.240275,correct,True,-28.490936,-14.240275,intuitive,False,-16.166199,-14.240275,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,27,1.1087857,11,"[10.959578514099121, 12.19232177734375, 9.624516487121582]","[4.33012056350708, 5.628768444061279, 5.827010631561279]",1,[19.238037109375],[-5.572758197784424],-6.5026298,-0.6049262,intuitive,False,-19.507889,-0.6049262,intuitive,False,-8.883388,-0.6049262,intuitive,False,0.3162811,8077,"[0.4903918206691742, 10.07536792755127, 8.516775131225586]","[-0.731468141078949, 5.685085773468018, 4.0798869132995605]",1164,[2.3119282722473145],[-1.3380354642868042],-9.086255,-14.425411,correct,True,-27.258766,-14.425411,intuitive,False,-16.246946,-14.425411,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,28,1.254921,9,"[11.188363075256348, 12.650740623474121, 10.541083335876465]","[8.852633476257324, 8.636174201965332, 3.1950669288635254]",1,[16.57123565673828],[0.05185386911034584],-3.6117766,-0.7837767,intuitive,False,-10.83533,-0.7837767,intuitive,False,-6.1666527,-0.7837767,intuitive,False,0.33577493,8508,"[0.33988985419273376, 10.690244674682617, 9.042481422424316]","[-0.5018264055252075, 4.7522969245910645, 3.1010541915893555]",1522,[1.9608644247055054],[0.9747733473777771],-8.02102,-14.533821,correct,True,-24.06306,-14.533821,intuitive,False,-16.154795,-14.533821,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,29,1.4683388,5,"[12.309449195861816, 13.733278274536133, 10.901128768920898]","[3.746525287628174, 8.800525665283203, 8.369518280029297]",1,[15.753602027893066],[-2.173924446105957],-2.4953954,-0.9519658,intuitive,False,-7.486186,-0.9519658,intuitive,False,-4.3961153,-0.9519658,intuitive,False,0.3315928,9358,"[0.2487115114927292, 11.233139991760254, 9.412250518798828]","[-0.7476100921630859, 4.205325126647949, 7.899443626403809]",1439,[2.0322656631469727],[1.4645812511444092],-7.59927,-14.360132,correct,True,-22.79781,-14.360132,intuitive,False,-16.143686,-14.360132,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,30,1.7781899,4,"[12.417319297790527, 14.866328239440918, 12.486442565917969]","[11.736184120178223, 9.043027877807617, 3.0775136947631836]",1,[14.666167259216309],[5.372134685516357],-1.4119772,-1.1587038,intuitive,False,-4.2359314,-1.1587038,intuitive,False,-3.4075556,-1.1587038,intuitive,False,0.51672274,9191,"[0.13339248299598694, 11.730918884277344, 10.914034843444824]","[-1.0654093027114868, 5.582394123077393, 3.447948694229126]",1075,[2.1644465923309326],[1.2098537683486938],-6.263827,-13.529457,correct,True,-18.791481,-13.529457,intuitive,False,-15.560512,-13.529457,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,31,1.7101884,4,"[14.043878555297852, 15.813859939575195, 12.861191749572754]","[11.935227394104004, 7.3213396072387695, 6.066573619842529]",1,[15.026155471801758],[7.518622875213623],-0.7924845,-0.9256803,correct,True,-2.3774536,-0.9256803,intuitive,False,-1.907963,-0.9256803,intuitive,False,0.53271955,10039,"[-0.02427063137292862, 12.30947208404541, 11.355056762695312]","[1.315955638885498, 5.691422462463379, 5.976977348327637]",886,[2.2833199501037598],[2.4512298107147217],-5.9195466,-13.300836,correct,True,-17.75864,-13.300836,intuitive,False,-15.608427,-13.300836,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,32,1.5803254,2,"[15.408373832702637, 16.69375228881836, 13.733376502990723]","[5.814216136932373, 7.157474040985107, 4.85863733291626]",1,[15.565088272094727],[-5.7527241706848145],-0.46906093,-1.0429289,correct,True,-1.4071828,-1.0429289,intuitive,False,-1.1996454,-1.0429289,intuitive,False,0.50871783,7761,"[0.1578671932220459, 13.08201789855957, 12.221403121948242]","[1.8594318628311157, 4.696524620056152, 4.727018356323242]",629,[2.5623226165771484],[-0.10296429693698883],-5.5579133,-13.172973,correct,True,-16.67374,-13.172973,intuitive,False,-15.577428,-13.172973,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,33,1.0876365,1,"[15.724632263183594, 17.10200309753418, 14.25074577331543]","[5.197819709777832, 16.360977172851562, 6.122747898101807]",2,[13.888781547546387],[0.2607961595058441],-0.14450623,-2.1316864,correct,True,-0.4335187,-2.1316864,correct,True,-0.29583427,-2.1316864,correct,True,0.8971205,4555,"[0.4769631326198578, 13.348725318908691, 12.759563446044922]","[-0.5779808163642883, 8.262791633605957, 4.729368209838867]",587,[2.4496967792510986],[-1.782696008682251],-5.0855155,-12.540082,correct,True,-15.256546,-12.540082,intuitive,False,-14.512815,-12.540082,intuitive,False,The capital
