task,item_id,entity_type,entity,correct,incorrect,incorrect_2,question,prefix,population_correct,population_incorrect,population_ratio,condition,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",18,0.28720465,117599,[-7.797951698303223],[6.1451416015625],49719,[-1.6755599975585938],[7.970575332641602],-41.13768,-35.01529,incorrect,False,-41.13768,-35.01529,incorrect,False,-41.13768,-35.01529,incorrect,False,0.0041580647,19102,[0.5204991102218628],[6.583225727081299],8719,[2.8748526573181152],[14.127976417541504],-51.924816,-49.570465,incorrect,False,-51.924816,-49.570465,incorrect,False,-51.924816,-49.570465,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",19,0.30886772,114416,[-4.729947090148926],[-0.4505598545074463],40600,[1.4463454484939575],[-0.10588118433952332],-39.209076,-33.032784,incorrect,False,-39.209076,-33.032784,incorrect,False,-39.209076,-33.032784,incorrect,False,0.004707123,16782,[2.0840649604797363],[1.2990761995315552],3818,[6.266165733337402],[7.080021381378174],-52.84677,-48.66467,incorrect,False,-52.84677,-48.66467,incorrect,False,-52.84677,-48.66467,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",20,0.09272857,118058,[-4.562607288360596],[10.745594024658203],45127,[1.3152601718902588],[7.121329307556152],-39.23702,-33.35915,incorrect,False,-39.23702,-33.35915,incorrect,False,-39.23702,-33.35915,incorrect,False,0.014157633,22904,[2.3907604217529297],[8.258977890014648],3018,[7.934330940246582],[7.089653968811035],-51.582165,-46.038593,incorrect,False,-51.582165,-46.038593,incorrect,False,-51.582165,-46.038593,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",21,0.23700227,90259,[-0.4377034902572632],[2.9150571823120117],38782,[3.867915630340576],[0.833296000957489],-34.96011,-30.654491,incorrect,False,-34.96011,-30.654491,incorrect,False,-34.96011,-30.654491,incorrect,False,0.035525523,13965,[4.746422290802002],[1.378780484199524],2220,[9.62294864654541],[-0.4505000710487366],-44.68472,-39.808193,incorrect,False,-44.68472,-39.808193,incorrect,False,-44.68472,-39.808193,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",22,1.241829,79140,[0.5938991904258728],[4.17941951751709],41014,[4.095180511474609],[1.7698731422424316],-36.04771,-32.54643,incorrect,False,-36.04771,-32.54643,incorrect,False,-36.04771,-32.54643,incorrect,False,0.0119267255,17406,[5.105475425720215],[-0.2808164954185486],3537,[9.392438888549805],[0.2955991327762604],-44.95605,-40.669086,incorrect,False,-44.95605,-40.669086,incorrect,False,-44.95605,-40.669086,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",23,0.8788167,75620,[2.133082389831543],[-8.912883758544922],49631,[4.151159286499023],[-1.6520072221755981],-32.967484,-30.94941,incorrect,False,-32.967484,-30.94941,incorrect,False,-32.967484,-30.94941,incorrect,False,0.027897501,25900,[4.478348255157471],[13.461655616760254],5801,[8.52466106414795],[6.861111640930176],-42.54408,-38.497765,incorrect,False,-42.54408,-38.497765,incorrect,False,-42.54408,-38.497765,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",24,1.2524697,115453,[-1.075918197631836],[4.605952739715576],52413,[3.391408920288086],[8.597834587097168],-39.97895,-35.511627,incorrect,False,-39.97895,-35.511627,incorrect,False,-39.97895,-35.511627,incorrect,False,0.10054228,12986,[8.722192764282227],[2.0340421199798584],7607,[10.0466947555542],[3.4906439781188965],-35.28574,-33.96124,incorrect,False,-35.28574,-33.96124,incorrect,False,-35.28574,-33.96124,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",25,1.1129935,74985,[0.6062631607055664],[13.686383247375488],22185,[5.996878147125244],[5.389848232269287],-38.154232,-32.763615,incorrect,False,-38.154232,-32.763615,incorrect,False,-38.154232,-32.763615,incorrect,False,0.4315045,17677,[9.195479393005371],[10.540389060974121],8767,[11.003193855285645],[4.966796875],-29.448744,-27.641031,incorrect,False,-29.448744,-27.641031,incorrect,False,-29.448744,-27.641031,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",26,1.2699575,45175,[5.3442277908325195],[3.8113701343536377],30055,[6.940164566040039],[6.669224739074707],-31.529,-29.933062,incorrect,False,-31.529,-29.933062,incorrect,False,-31.529,-29.933062,incorrect,False,0.26511356,12490,[11.543366432189941],[13.06121826171875],15671,[10.963130950927734],[10.747381210327148],-26.475298,-27.055532,correct,True,-26.475298,-27.055532,correct,True,-26.475298,-27.055532,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",27,0.01066719,36801,[6.872457027435303],[6.7147321701049805],17973,[9.539007186889648],[-8.33989429473877],-42.984367,-40.317814,incorrect,False,-42.984367,-40.317814,incorrect,False,-42.984367,-40.317814,incorrect,False,0.09916806,3821,[17.906885147094727],[6.514398574829102],8225,[16.179380416870117],[1.0565072298049927],-28.168812,-29.896317,correct,True,-28.168812,-29.896317,correct,True,-28.168812,-29.896317,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",28,0.004501565,22355,[8.871617317199707],[35.273738861083984],38783,[6.5685224533081055],[34.5484619140625],-43.939255,-46.242348,correct,True,-43.939255,-46.242348,correct,True,-43.939255,-46.242348,correct,True,0.0021728333,1706,[19.557722091674805],[6.146711826324463],8870,[15.834883689880371],[2.071507215499878],-33.9092,-37.63204,correct,True,-33.9092,-37.63204,correct,True,-33.9092,-37.63204,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",29,0.03372565,1032,[18.12162208557129],[0.3554851710796356],2450,[15.846952438354492],[1.0111780166625977],-34.170128,-36.444794,correct,True,-34.170128,-36.444794,correct,True,-34.170128,-36.444794,correct,True,0.013445075,2045,[19.196216583251953],[-3.3161566257476807],14655,[14.354644775390625],[9.301372528076172],-36.766342,-41.607914,correct,True,-36.766342,-41.607914,correct,True,-36.766342,-41.607914,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",30,0.035078213,1489,[17.635257720947266],[18.06513214111328],2984,[15.602682113647461],[4.5357866287231445],-36.8588,-38.891376,correct,True,-36.8588,-38.891376,correct,True,-36.8588,-38.891376,correct,True,0.00347717,1566,[16.201160430908203],[24.605484008789062],1624,[16.132707595825195],[8.3468017578125],-39.692486,-39.760937,correct,True,-39.692486,-39.760937,correct,True,-39.692486,-39.760937,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",31,0.077356085,358,[21.00063133239746],[36.123348236083984],1864,[15.642047882080078],[25.204673767089844],-33.592518,-38.951103,correct,True,-33.592518,-38.951103,correct,True,-33.592518,-38.951103,correct,True,0.00018285455,209,[22.84449005126953],[8.607257843017578],1977,[17.3154354095459],[17.74443817138672],-42.916237,-48.44529,correct,True,-42.916237,-48.44529,correct,True,-42.916237,-48.44529,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",32,0.04794645,51,[29.169160842895508],[11.767746925354004],351,[21.298776626586914],[6.437726020812988],-25.426498,-33.29688,correct,True,-25.426498,-33.29688,correct,True,-25.426498,-33.29688,correct,True,0.00012064866,177,[23.879079818725586],[8.242375373840332],444,[21.3605899810791],[1.1412162780761719],-42.281837,-44.80033,correct,True,-42.281837,-44.80033,correct,True,-42.281837,-44.80033,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",33,0.0163951,47,[30.413970947265625],[8.184698104858398],345,[21.736886978149414],[11.592955589294434],-25.767149,-34.44423,correct,True,-25.767149,-34.44423,correct,True,-25.767149,-34.44423,correct,True,0.00022019129,267,[24.43722915649414],[10.532007217407227],1505,[20.230810165405273],[7.36327600479126],-40.90434,-45.110756,correct,True,-40.90434,-45.110756,correct,True,-40.90434,-45.110756,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",34,0.6709962,47,[30.11467933654785],[22.334367752075195],239,[22.871299743652344],[11.790955543518066],-28.60747,-35.85085,correct,True,-28.60747,-35.85085,correct,True,-28.60747,-35.85085,correct,True,0.0008784466,173,[25.867773056030273],[5.216133117675781],1173,[21.052602767944336],[-8.945793151855469],-35.14946,-39.96463,correct,True,-35.14946,-39.96463,correct,True,-35.14946,-39.96463,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",35,0.22433959,23,[34.638404846191406],[7.292740345001221],132,[24.99239730834961],[3.0389280319213867],-27.448437,-37.094444,correct,True,-27.448437,-37.094444,correct,True,-27.448437,-37.094444,correct,True,0.0061471905,212,[25.862138748168945],[8.797513008117676],5697,[17.508892059326172],[3.547534465789795],-31.68932,-40.04257,correct,True,-31.68932,-40.04257,correct,True,-31.68932,-40.04257,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",36,0.68967915,22,[33.06370544433594],[47.61202621459961],130,[23.35114097595215],[29.218015670776367],-23.696217,-33.40878,correct,True,-23.696217,-33.40878,correct,True,-23.696217,-33.40878,correct,True,0.0111861285,198,[26.4127197265625],[-3.888420820236206],6967,[17.286052703857422],[1.0741618871688843],-28.89935,-38.026016,correct,True,-28.89935,-38.026016,correct,True,-28.89935,-38.026016,correct,True,The capital
